code,libelle,type_officiel,region,adresse
060433,INFIRMERIE DE LA CAMEG-TOGO (Centrale d'Achat des Médicaments Essentiels et Génériques du Togo),USP type I,GRAND LOMÉ,"Dr ASSIH Mamessilé, DG CAMEG- TOGO 202, Bd des Armées, Tokoin Hôpital"
060434,CLINIQUE MERE ET ENFANT «L'ETOILE»,CHU,GRAND LOMÉ,"Dr TETE Dela-Goku, Gynécologue Obstétricien"
060435,CMS SOEUR PURA PAGANI,USP type II,GRAND LOMÉ,"Mme KOUTSAVA Afi Essé, Assistante sociale CMS situé à côté de l'église catholique de Yokoè"
060436,Infirmerie de l'Assemblée Nationale,USP type I,GRAND LOMÉ,"ATE Safiou, Infirmier"
060437,PHARMACIE LA MAIN DE DIEU,PHARMACIE,GRAND LOMÉ,"Dr Takouda Toï KAMDA, Pharmacien Agoè Démakpoè, à 10m de l'église AD"
060439,CABINET MEDICAL Dr MOTTE,CHU,GRAND LOMÉ,"Dr MOTTE Kokou Agbégno, médecin Cardiologue 320, avenue Akeï, face résidence deu Bénin, Tokoin Wuiti"
060440,CABINET MEDICO- DERMATOLOGIQUE DE LOME (CDML),CHU,GRAND LOMÉ,"Dr GNASSINGBE Waguéna, Médecin Dermatologue, Qtier Avédji, à 300 m du carrefour Limousine"
060441,CMS GRATIA,USP type II,GRAND LOMÉ,KLEME Agokpanou
060442,PHARMACIE M'BA,PHARMACIE,GRAND LOMÉ,Légbassito à environ 150m du marché en allant vers Kovié
060443,CMS SCHILO,USP type II,GRAND LOMÉ,"Pasteur YOVO Zankpé Aziablevi, Responsable ECIG Dr AMEGAN Ayamnou Eloi, Médecin responsable du centre"
060444,CMS DES ETOILES,USP type II,GRAND LOMÉ,"M. DJEDU Koffi H. M., Président du ROAREP Dr MBEBA Tchalim E., Médecin Chef du CMS"
060445,PHARMACIE O GRAIN D'OR,PHARMACIE,GRAND LOMÉ,"Ahadji-Kpota, près du carrefour Zorrobar"
060446,CABINET DENTAIRE TERANGA,CHU,GRAND LOMÉ,"Qtier TOTSI, face hôtel HAVILA Dr LAWSON Daniel Bruno, Chirurgien- Dentiste"
060447,CMS YAYRA,HOPITAL DE DISTRICT,GRAND LOMÉ,"Mme TSOGBE A. Mawussé née ABIAROU, Directrice exécutive Qtier ZOSSIME"
060448,HOPITAL PRIVE ISIS,CHU,GRAND LOMÉ,"ADIDOGOME-AMANDAHOME Mme AGBO Adissétou, Gynécologue-Obstétrique, Titulaire et Responsable de la clinique"
060449,CMS SAINTE BAKHITA,USP type II,GRAND LOMÉ,"Lomé, Avenue de la libération, Kokétimé (Brother home) Sœur NAYO Akoua Eulalie, infirmière diplômée d'Etat, Responsable du centre"
060450,PHARMACIE DE ZOSSIME,PHARMACIE,GRAND LOMÉ,ZOSSIME
060451,CABINET MEDICAL SPECIALISE SANTE 24,CHU,GRAND LOMÉ,"Dr SONHAYE Khaled, Médecin ORL, Ex bd CEDEAO en face du Temple SINAI, AGOE TELESSOU"
060452,CMS NOTRE DAME DE LA TRINITE,HOPITAL DE DISTRICT,GRAND LOMÉ,ADIDOGOME (AMADAHOME)
060453,PHARMACIE SAINT JOSEPH,PHARMACIE,GRAND LOMÉ,"Mme GAYIBOR Kuamba née KOMLA, Titulaire de la Pharmacie Avenue des Tecks"
060454,CABINET D'ASSISTANT MEDICAL BON BERGER,USP type II,GRAND LOMÉ,"M. ANDJAWO Yao, Assistant Médical Rue 130, Hédzranawoé, rue du marché vers la piscine Atlantide"
